job_id,job_title,company,location,is_remote,salary_raw,salary_min,salary_max,skills_joined,skill_count,has_skills,posted_raw,url,source_url,scraped_at
remotive-2091144,Content Reviewer - United States,TELUS Digital,USA,True,Unknown,,,Machine Learning,1,True,2026-09-21T12:55:11,https://remotive.com/remote-jobs/all-others/content-reviewer-united-states-2091144,https://remotive.com/api/remote-jobs,2026-09-23T11:39:47.572155+00:00
remotive-2091141,Frontend Web Application Developer,KoboToolbox,"USA, Canada, Argentina, Mexico, Peru",True,$90k - $105k,90000.0,105000.0,"Docker, Git, Machine Learning, Python, React, TypeScript",6,True,2026-09-18T16:43:22,https://remotive.com/remote-jobs/design/frontend-web-application-developer-2091141,https://remotive.com/api/remote-jobs,2026-09-23T11:39:47.572155+00:00
remotive-2091140,Senior Shopify Developer,Sanctuary Computer Inc,Worldwide,True,$80k - $150k,80000.0,150000.0,"Node.js, PostgreSQL, TypeScript",3,True,2026-09-18T15:10:28,https://remotive.com/remote-jobs/software-development/senior-shopify-developer-2091140,https://remotive.com/api/remote-jobs,2026-09-23T11:39:47.572155+00:00
remotive-2091139,🇩🇪 Kundenservice Mobilfunk Inbound - innerhalb der EU (ausgenommen: Deutschland),hey contact heroes GmbH,Europe,True,Unknown,,,,0,False,2026-09-18T13:00:47,https://remotive.com/remote-jobs/customer-service/kundenservice-mobilfunk-inbound-innerhalb-der-eu-ausgenommen-deutschland-2091139,https://remotive.com/api/remote-jobs,2026-09-23T11:39:47.572155+00:00
remotive-2091131,Senior AI Engineer,Lemon.io,"Northern America, LATAM, Europe, APAC",True,Unknown,,,"Go, Java, JavaScript, Machine Learning, Node.js, Python, React, Scala, TypeScript",9,True,2026-09-18T12:23:56,https://remotive.com/remote-jobs/artificial-intelligence/senior-ai-engineer-2091131,https://remotive.com/api/remote-jobs,2026-09-23T11:39:47.572155+00:00
remotive-2091130,Senior .NET Full-stack Developer,Lemon.io,"Northern America, LATAM, Europe, APAC",True,Unknown,,,"Go, Java, JavaScript, Machine Learning, Node.js, Python, React, Scala, TypeScript",9,True,2026-09-17T13:22:05,https://remotive.com/remote-jobs/software-development/senior-net-full-stack-developer-2091130,https://remotive.com/api/remote-jobs,2026-09-23T11:39:47.572155+00:00
remotive-2091129,Senior Data Scientist,Lemon.io,"Northern America, LATAM, Europe, APAC",True,Unknown,,,"Go, Java, JavaScript, Machine Learning, Node.js, Python, React, Scala, TypeScript",9,True,2026-09-16T12:35:28,https://remotive.com/remote-jobs/data/senior-data-scientist-2091129,https://remotive.com/api/remote-jobs,2026-09-23T11:39:47.572155+00:00
remotive-1919265,Senior Independent Software Developer,A.Team,"Americas, Europe, Israel",True,$90 - $150 /hour,,,,0,False,2026-09-16T10:10:59,https://remotive.com/remote-jobs/software-development/senior-independent-software-developer-1919265,https://remotive.com/api/remote-jobs,2026-09-23T11:39:47.572155+00:00
remotive-1919266,Senior Independent AI Engineer / Architect,A.Team,"Americas, Europe, Israel",True,$120 - $170 /hour,,,Machine Learning,1,True,2026-09-16T10:10:53,https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266,https://remotive.com/api/remote-jobs,2026-09-23T11:39:47.572155+00:00
remotive-2069746,Tech Lead Full-Stack Rails Engineer,Mitre Media,"USA, Canada, USA timezones",True,$170k - $200k,170000.0,200000.0,"Docker, Git, JavaScript, Kubernetes, Machine Learning, MySQL, PostgreSQL, React",8,True,2026-09-14T20:33:27,https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746,https://remotive.com/api/remote-jobs,2026-09-23T11:39:47.572155+00:00
remotive-1680495,Remote Office Assistant,Coalition Technologies,Worldwide,True,"$35,3k- $52k",52000.0,353000.0,"Excel, Git, MySQL",3,True,2026-09-11T20:16:48,https://remotive.com/remote-jobs/marketing/remote-office-assistant-1680495,https://remotive.com/api/remote-jobs,2026-09-23T11:39:47.572155+00:00
remotive-2091126,AI Response Evaluator,iMerit Technology,"France, Japan, Turkey, Vietnam, Mexico, Norway",True,$10K-$20K,10000.0,20000.0,Machine Learning,1,True,2026-09-11T06:49:00,https://remotive.com/remote-jobs/artificial-intelligence/ai-response-evaluator-2091126,https://remotive.com/api/remote-jobs,2026-09-23T11:39:47.572155+00:00
remotive-2086540,Inside Sales Contractor,"Credit Wellness, LLC",Worldwide,True,OTE $25k - $35k,25000.0,35000.0,,0,False,2026-09-08T21:47:54,https://remotive.com/remote-jobs/sales/inside-sales-contractor-2086540,https://remotive.com/api/remote-jobs,2026-09-23T11:39:47.572155+00:00
remotive-2091045,Tier III Service Desk Engineer,Unio Digital,Worldwide,True,Unknown,,,Azure,1,True,2026-09-07T01:10:43,https://remotive.com/remote-jobs/information-technology/tier-iii-service-desk-engineer-2091045,https://remotive.com/api/remote-jobs,2026-09-23T11:39:47.572155+00:00
remotive-1185979,Freelance Writer,IAPWE,Worldwide,True,$50-$75 /hour,,,,0,False,2026-09-04T16:53:29,https://remotive.com/remote-jobs/writing/freelance-writer-1185979,https://remotive.com/api/remote-jobs,2026-09-23T11:39:47.572155+00:00
remotive-1749306,Freelance Copywriter,Coalition Technologies,Worldwide,True,$20k -$35k,20000.0,35000.0,Excel,1,True,2026-09-02T19:59:53,https://remotive.com/remote-jobs/writing/freelance-copywriter-1749306,https://remotive.com/api/remote-jobs,2026-09-23T11:39:47.572155+00:00
remotive-2091101,Senior React Full-stack Developer,Lemon.io,"LATAM, Europe, USA, Canada, APAC",True,Unknown,,,"AWS, Go, Java, JavaScript, Machine Learning, Node.js, Python, React, Scala, TypeScript",10,True,2026-08-27T14:36:09,https://remotive.com/remote-jobs/software-development/senior-react-full-stack-developer-2091101,https://remotive.com/api/remote-jobs,2026-09-23T11:39:47.572155+00:00
remotive-2091100,Senior QA Engineer,Lemon.io,Europe,True,Unknown,,,"Go, Java, JavaScript, Machine Learning, Node.js, Python, React, Scala, TypeScript",9,True,2026-08-26T13:10:58,https://remotive.com/remote-jobs/qa/senior-qa-engineer-2091100,https://remotive.com/api/remote-jobs,2026-09-23T11:39:47.572155+00:00
remotive-2091099,Senior DevOps Engineer,Lemon.io,"LATAM, Europe, USA, Canada, APAC",True,Unknown,,,"AWS, Azure, GCP, Go, Java, JavaScript, Kubernetes, Linux, Machine Learning, Node.js, Python, React, SQL, Scala, Terraform, TypeScript",16,True,2026-08-25T13:57:53,https://remotive.com/remote-jobs/devops/senior-devops-engineer-2091099,https://remotive.com/api/remote-jobs,2026-09-23T11:39:47.572155+00:00
